id,plot,exposition,side,block,location,locationAbb,locationYear,longitude,latitude,riverkm,distanceRiver,constructionYear,botanist,conf.low,conf.high,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,B,C,D,comparison,presabu
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.2453,0.1132,0.3585,1721,presence
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.0931,0.0536,0.1467,1718,abundance
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.0975,0.0402,0.1377,1819,abundance
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.0981,0.2302,0.3283,1921,abundance
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.1461,0.0495,0.1956,1719,abundance
X10_m_2017,10,north,land,5,Oebling,OEB,OEB-2010,4546909,5417329,2314,1526.4,2010,Jakob_Huber_Leonardo_Teixeira,37,37,-0.4321,-0.7743,-0.4846,-0.7785,-0.4666,-0.7891,0.163,0.1989,0.3619,1721,abundance
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.3231,0.1538,0.4769,1718,presence
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.1613,0.2903,0.4516,1819,presence
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.2388,0.194,0.4328,1921,presence
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.2192,0.1781,0.3973,1719,presence
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.2571,0.1714,0.4286,1721,presence
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.331,0.1642,0.4952,1718,abundance
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.1851,0.246,0.43120000000000003,1819,abundance
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.3303,0.1909,0.5212,1921,abundance
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.3397,0.2328,0.5724,1719,abundance
X11_m_2017,11,north,water,6,Oebling,OEB,OEB-2010,4546311,5417431,2315,1010.1,2010,Jakob_Huber_Leonardo_Teixeira,41,41,0.7763,-0.1089,-0.4152,-0.7785,-0.4666,-0.7891,0.3408,0.0981,0.4389,1721,abundance
X12_m_2017,12,south,land,6,Oebling,OEB,OEB-2010,4546311,5417420,2315,1016.7,2010,Jakob_Huber_Leonardo_Teixeira,45,45,0.3252,-0.8793,-0.6282,-0.7785,-0.4666,-0.7891,0.25,0.1071,0.3571,1718,presence
X12_m_2017,12,south,land,6,Oebling,OEB,OEB-2010,4546311,5417420,2315,1016.7,2010,Jakob_Huber_Leonardo_Teixeira,45,45,0.3252,-0.8793,-0.6282,-0.7785,-0.4666,-0.7891,0.1034,0.2759,0.3793,1819,presence
X12_m_2017,12,south,land,6,Oebling,OEB,OEB-2010,4546311,5417420,2315,1016.7,2010,Jakob_Huber_Leonardo_Teixeira,45,45,0.3252,-0.8793,-0.6282,-0.7785,-0.4666,-0.7891,0.25,0.0357,0.2857,1921,presence
X12_m_2017,12,south,land,6,Oebling,OEB,OEB-2010,4546311,5417420,2315,1016.7,2010,Jakob_Huber_Leonardo_Teixeira,45,45,0.3252,-0.8793,-0.6282,-0.7785,-0.4666,-0.7891,0.1515,0.1818,0.3333,1719,presence
X12_m_2017,12,south,land,6,Oebling,OEB,OEB-2010,4546311,5417420,2315,1016.7,2010,Jakob_Huber_Leonardo_Teixeira,45,45,0.3252,-0.8793,-0.6282,-0.7785,-0.4666,-0.7891,0.2963,0.1111,0.4074,1721,presence
