id,plot,block,location,locationAbb,locationYear,latitude,longitude,riverkm,distanceRiver,MEM1_2017,MEM2_2018,MEM1_2019,MEM1_2021,MEM2_2021,surveyYear,constructionYear,plotAge,exposition,side,PC1soil,PC2soil,PC3soil,PC1constructionYear,PC2constructionYear,PC3constructionYear,accumulatedCov,speciesRichness,botanist,conf_low,conf_high,n
X27_m_2019,27,14,Irlbach,IRL,IRL-2011,5412036,4554294,2301,1932.1,NA,NA,-0.7525928346832432,NA,NA,2019,2011,8,north,water,-0.5712,-0.5229,1.4707,-0.2795,-0.2306,-0.9709,98.7,33,Jakob_Huber_Linda_Weggler,107,107,4
X27_m_2021,27,14,Irlbach,IRL,IRL-2011,5412036,4554294,2301,1932.1,NA,NA,NA,-0.7525928346832432,0.6024443014866069,2021,2011,10,north,water,-0.5712,-0.5229,1.4707,-0.2795,-0.2306,-0.9709,80.6,37,Markus Bauer,108,108,4
X28_m_2017,28,14,Irlbach,IRL,IRL-2011,5412027,4554292,2301,1934.8,-0.7525648627841478,NA,NA,NA,NA,2017,2011,6,south,land,-0.574,-0.409,0.9978,-0.2795,-0.2306,-0.9709,53,17,Jakob_Huber_Simon_Reith,109,109,4
X28_m_2018,28,14,Irlbach,IRL,IRL-2011,5412027,4554292,2301,1934.8,NA,0.6024235489824277,NA,NA,NA,2018,2011,7,south,land,-0.574,-0.409,0.9978,-0.2795,-0.2306,-0.9709,66.4,13,Jakob_Huber,110,110,4
X28_m_2019,28,14,Irlbach,IRL,IRL-2011,5412027,4554292,2301,1934.8,NA,NA,-0.7525648627841478,NA,NA,2019,2011,8,south,land,-0.574,-0.409,0.9978,-0.2795,-0.2306,-0.9709,89.2,15,Jakob_Huber_Linda_Weggler,111,111,4
X28_m_2021,28,14,Irlbach,IRL,IRL-2011,5412027,4554292,2301,1934.8,NA,NA,NA,-0.7525648627841478,0.6024235489824277,2021,2011,10,south,land,-0.574,-0.409,0.9978,-0.2795,-0.2306,-0.9709,58.4,14,Markus Bauer,112,112,4
X34_o_2017,34,17,Irlbach,IRL,IRL-2003,5412659,4555704,2301,516.4,-0.5783084307083223,NA,NA,NA,NA,2017,2003,14,south,land,0.0251,0.0608,-0.6397,-0.2763,-0.9022,1.9349,38.8,19,Jakob_Huber_Simon_Reith_Jakob_Strak,133,133,4
X34_o_2018,34,17,Irlbach,IRL,IRL-2003,5412659,4555704,2301,516.4,NA,0.8392105057121108,NA,NA,NA,2018,2003,15,south,land,0.0251,0.0608,-0.6397,-0.2763,-0.9022,1.9349,85.9,32,Jakob_Huber_Linda_Weggler_Laura_Baeumler,134,134,4
X34_o_2019,34,17,Irlbach,IRL,IRL-2003,5412659,4555704,2301,516.4,NA,NA,-0.5783084307083223,NA,NA,2019,2003,16,south,land,0.0251,0.0608,-0.6397,-0.2763,-0.9022,1.9349,90.7,35,Jakob_Huber_Linda_Weggler,135,135,4
X34_o_2021,34,17,Irlbach,IRL,IRL-2003,5412659,4555704,2301,516.4,NA,NA,NA,-0.5783084307083223,0.8392105057121108,2021,2003,18,south,land,0.0251,0.0608,-0.6397,-0.2763,-0.9022,1.9349,36.8,12,Markus Bauer,136,136,4
X39_m_2017,39,20,Natternberg,"NAT","NAT-2013",5411096,4567747,2287,480.6,1.293260167405732,NA,NA,NA,NA,2017,2013,4,north,water,-1.7667,-0.2672,-0.469,-0.3107,0.8715,0.8865,106.6,31,Jakob_Huber_Jakob_Strak,153,153,4
X39_m_2018,39,20,Natternberg,"NAT","NAT-2013",5411096,4567747,2287,480.6,NA,0.9829340381834994,NA,NA,NA,2018,2013,5,north,water,-1.7667,-0.2672,-0.469,-0.3107,0.8715,0.8865,147.1,32,Jakob_Huber,154,154,4
X39_m_2019,39,20,Natternberg,"NAT","NAT-2013",5411096,4567747,2287,480.6,NA,NA,1.293260167405732,NA,NA,2019,2013,6,north,water,-1.7667,-0.2672,-0.469,-0.3107,0.8715,0.8865,142.9,39,Jakob_Huber_Linda_Weggler,155,155,4
X39_m_2021,39,20,Natternberg,"NAT","NAT-2013",5411096,4567747,2287,480.6,NA,NA,NA,1.293260167405732,0.9829340381834994,2021,2013,8,north,water,-1.7667,-0.2672,-0.469,-0.3107,0.8715,0.8865,128.7,27,Markus Bauer,156,156,4
X40_m_2017,40,20,Natternberg,"NAT","NAT-2013",5411081,4567737,2287,498.6,1.2604146907720755,NA,NA,NA,NA,2017,2013,4,south,land,0.2595,0.8512,-0.9844,-0.3107,0.8715,0.8865,51,25,Jakob_Huber_Jakob_Strak,157,157,4
X40_m_2018,40,20,Natternberg,"NAT","NAT-2013",5411081,4567737,2287,498.6,NA,1.1404961176322346,NA,NA,NA,2018,2013,5,south,land,0.2595,0.8512,-0.9844,-0.3107,0.8715,0.8865,96.5,29,Jakob_Huber,158,158,4
X40_m_2019,40,20,Natternberg,"NAT","NAT-2013",5411081,4567737,2287,498.6,NA,NA,1.2604146907720755,NA,NA,2019,2013,6,south,land,0.2595,0.8512,-0.9844,-0.3107,0.8715,0.8865,100.2,32,Jakob_Huber_Linda_Weggler,159,159,4
X40_m_2021,40,20,Natternberg,"NAT","NAT-2013",5411081,4567737,2287,498.6,NA,NA,NA,1.2604146907720755,1.1404961176322346,2021,2013,8,south,land,0.2595,0.8512,-0.9844,-0.3107,0.8715,0.8865,102,29,Markus Bauer,160,160,4
