plot,block,comparison,pool,presabu,exposition,orientation,pc1_soil,pc2_soil,pc3_soil,location,location_abb,location_construction_year,river_km,river_distance,construction_year,b,c,d
09,5,1719,target,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.375,0.125,0.5
09,5,1721,target,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.5714,0.1429,0.7143
09,5,1718,target,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.038,-0,0.038
09,5,1819,target,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0,0.2512,0.2512
09,5,1921,target,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.0079,0.004,0.0119
09,5,1719,target,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.0287,0.244,0.2727
09,5,1721,target,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.0337,0.2452,0.2788
09,5,1718,all,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.6667,0.0667,0.7333
09,5,1819,all,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0,0.5,0.5
09,5,1921,all,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.25,0.125,0.375
09,5,1719,all,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.3333,0.1905,0.5238
09,5,1721,all,presence,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.4737,0.2105,0.6842
09,5,1718,all,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.0783,0.006,0.0843
09,5,1819,all,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0,0.2667,0.2667
09,5,1921,all,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.015,0.0187,0.0337
09,5,1719,all,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.045,0.2432,0.2883
09,5,1721,all,abundance,south,water,-0.6301,-0.5532,0.7111,Oebling,OEB,OEB-2010,2314,1537.93,2010,0.0538,0.2556,0.3094
10,5,1718,target,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.1379,0.0345,0.1724
10,5,1819,target,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.1154,0.1154,0.2308
10,5,1921,target,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.1154,0.1154,0.2308
10,5,1719,target,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.1724,0.069,0.2414
10,5,1721,target,presence,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.1724,0.069,0.2414
10,5,1718,target,abundance,north,land,-0.5756,-0.7487,0.7457,Oebling,OEB,OEB-2010,2314,1526.4,2010,0.0715,0.0463,0.1178
